Spine,Title,Alternative,Year,Release,Boxset,Format,OOP
1,"Working Class Goes to Heaven, The",,1971,UK,,Blu ray,
2,Yakuza Graveyard,,1976,UK/US/CA,,Blu ray,
3,Welcome to the Dollhouse,,1995,UK,,Blu ray,
4,"Sunday Woman, The",,1975,UK/US/CA,,Blu ray,
5,Miami Blues,,1990,UK,,Blu ray,
6,Red Sun,,1970,UK/US/CA,,Blu ray,
7,She Dies Tomorrow,,2020,UK,,Blu ray,
8,"Woman Kills, A",,1968,UK/US/CA,,Blu ray,
9,"Man on the Roof, The",,1976,UK,,Blu ray,
10,Fill 'er up with Super,,1976,UK/US/CA,,Blu ray,
11,"Bride Wore Black, The",,1968,UK,,Blu ray,
12,Big Time Gambling Boss,,1968,UK/US/CA,,Blu ray,
13,"Hot Spot, The",,1990,UK,,Blu ray,
14,"Day of the Owl, The",,1968,UK/US/CA,Cosa Nostra (Damiani),Blu ray,
15,"Case is Closed: Forget It, The",,1971,UK/US/CA,Cosa Nostra (Damiani),Blu ray,
16,How to Kill a Judge,,1974,UK/US/CA,Cosa Nostra (Damiani),Blu ray,
17,Thieves Like Us,,1974,UK,,Blu ray,
18,O.C. and Stiggs,,1987,UK,,Blu ray,
19,Il Vedovo,,1959,UK,Commedia all’italiana (Dino Risi),Blu ray,
20,Il Mattatore,,1960,UK,Commedia all’italiana (Dino Risi),Blu ray,
21,Il Sorpasso,,1962,UK,Commedia all’italiana (Dino Risi),Blu ray,
22,"Iron Prefect, The",,1977,UK/US/CA,,Blu ray,
23,"Moment of Romance, A",,1990,UK/US/CA,,Blu ray,
24,"Dead Mother, The",La Madre Muerta,1993,UK/US/CA,,Blu ray,
25,Scream and Scream Again,,1970,UK,,Blu ray,
26,"Horrible Dr. Hichcock, The",,1962,UK,,Blu ray,
27,Visible Secret,,2001,UK/US/CA,,Blu ray,Single Pressing Only
28,Messiah of Evil,,1973,UK/US/CA,,Blu ray,
29,"Combat dans l'ile, Le",,1962,UK/US/CA,,Blu ray,
30,"War of the Worlds: Next Century, The",,1981,UK,The End of Civilization (Szulkin),Blu ray,
31,"O-Bi, O-Ba: The End of Civilization",,1985,UK,The End of Civilization (Szulkin),Blu ray,
32,"Ga, Ga: Glory to the Heroes",,1986,UK,The End of Civilization (Szulkin),Blu ray,
